번호,품목명,구분,질문,답변
1, TV, 청약철회_단순변심,전자상거래로 TV를 구입하였으나 생각보다 너무 느리고 사양이 낮아 판매자에게 반품을 요구하였으나 판매자는 이를 거부합니다. 청약철회 가능한가요?,"TV의 성능에 문제가 있음을 객관적으로 입증하고, TV를 사용함으로 인해 제품의 가치가 현저하게 하락했다는 점을 판매자가 입증하지 못하는 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등) 제1항에 따르면 ‘소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있다’고 규정하고 있습니다.다만, ‘전자상거래법’ 제17조(청약철회 등) 제2항에 따르면 ‘내용물을 확인하기 위하여 포장 등을 단순 훼손한 경우에는 청약철회가 가능하나 물건을 개봉하여 일부 소비하거나 제품이 훼손되어 다시 판매하기 어려울 정도로 재화의 가치가 현저히 낮아진 경우에는 청약철회가 불가능’하다고 규정하고 있습니다.따라서, TV의 성능이 기대한 것에 미치지 못하더라도 정상적으로 작동하고 있으며, TV를 사용함으로 인해 제품의 가치가 현저하게 하락했다는 점에 대해 판매자가 입증한 경우에는 청약철회를 요구하기는 어려울 수 있습니다."
2, TV, 청약철회_배송 지연,전자상거래로 TV를 구입한 후 몇 주가 지나도 배송이 되지 않아 청약철회를 요구하였으나 판매자는 현재 배송 중이라며 이를 거부합니다. 청약철회 가능한가요?,"사업자가 물품의 배송이 어려울 경우 소비자에게 이를 고지하지 않고 배송중이라는 사유로 청약철회를 거부한다면 소비자는 사업자에게 환급을 요구할 수 있다고 판단됩니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제15조(재화 등의 공급 등)에 따르면 ‘사업자는 소비자가 청약을 한 날부터 7일 이내에 재화 등의 공급에 필요한 조치를 하여야 하고, 소비자가 재화 등의 대금을 전부 또는 일부를 지급한 날부터 3영업일 이내에 재화 등의 공급에 필요한 조치를 하여야 한다’고 규정하고 있습니다.또한, ‘청약을 받은 재화 등급 공급하기 곤란하다는 것을 알았을 때에는 지체없이 그 사유를 소비자에게 알려야 하고, 소비자가 그 대금의 전부 또는 일부를 지급한 날부터 3영업일 이내에 환급하거나 환급에 필요한 조치를 해야한다’고 규정하고 있습니다.따라서, 사업자가 물품의 배송이 어려울 경우 소비자에게 이를 고지하지 않고 배송중이라는 사유로 청약철회를 거부한다면 소비자는 사업자에게 환급을 요구할 수 있다고 판단됩니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
3, TV, 청약철회_제품 훼손을 이유로 청약철회 거부,"청약철회 의사를 밝히고 수령한 제품을 그대로 반송하였으나, 판매자는 반송된 제품의 포장이 개봉되었고 제품이 사용되었다며 청약철회가 불가하다고 주장합니다. 청약철회 가능한가요?","판매자가 자신이 발송한 제품에 하자가 존재하지 않는다는 점을 입증하지 못하는 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등) 제2항에 따르면 ‘소비자의 책임 있는 사유로 재화 등이 멸실되거나 훼손된 경우, 소비자의 사용 또는 일부 소비로 인해 재화 등의 가치가 현저히 감소한 경우, 복제가 가능한 재화 등의 포장을 훼손한 경우는 청약철회를 할 수 없다’고 규정하고 있습니다.따라서, 재화 등의 훼손에 대한 소비자의 책임 여부에 대하여 다툼이 있는 경우에는 사업자가 이를 입증해야 하므로, 사업자가 자신이 발송한 제품에 하자가 존재하지 않는다는 점에 대한 입증을 하지 못하는 경우 청약철회를 요구할 수 있다고 판단됩니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
4, TV, 청약철회_7일 이내 반품 미완료,전자상거래로 TV를 구입하고 단순 변심으로 반품을 요청하였으나 사업자가 7일 이내 제품이 도착하지 않았다는 이유로 청약철회 불가를 주장합니다. 청약철회 가능한가요?,"“반품은 상품이 7일 이내 쇼핑몰에 도착해야만 환급 가능하다”고 규정한 약관이 소비자에게 불리한 계약으로 인정되어 무효화 될 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등) 제1항에 따르면 ‘소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있다’고 규정하고 있고, ‘전자상거래법’ 제35조(소비자에게 불리한 계약의 금지)에 따르면 ‘제17조 규정을 위반한 약정으로써 소비자에게 불리한 것은 효력이 없다’고 규정하고 있습니다.   따라서, 만약 사업자가 “반품은 상품이 7일 이내 쇼핑몰에 도착해야만 환급 가능하다”고 표시하였다고 하더라도 이는 ‘전자상거래법’ 제17조를 위반한 약정으로 소비자에게 불리한 것이므로 제35조에 따라 효력이 없다고 보며, 반품한 상품이 7일 이내 쇼핑몰에 도착하지 못했다 하더라도 소비자가 제품을 수령한 날로부터 7일 이내 청약철회 의사표시를 하고 반품 절차를 진행했다면 청약철회가 이루어질 수 있습니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
5, TV, 청약철회_설명과 다른 제품,전자상거래로 TV를 구입하고 7일이 경과한 후 전원을 켰는데 주문한 스펙과 다른 스펙의 제품이 도착한 것을 알게 되었습니다. 이에 판매자에게 반품을 요구하였으나 청약철회 기간인 7일이 지났다면서 이를 거부합니다. 청약철회 가능한가요?,"표시·광고 내용과 다른 제품을 수령한 경우 소비자는 사업자에게 30일 이내에 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등)에 따르면 재화 등을 공급받거나 재화 등의 공급이 시작된 날부터 7일 이내에 청약철회를 할 수 있다고 규정하고 있습니다. 다만, 재화 등의 내용이 표시·광고의 내용과 다르거나 계약 내용과 다르게 이행된 경우 그 재화 등을 공급받은 날부터 3개월 이내, 그 사실을 안 날 또는 알 수 있었던 날부터 30일 이내에 청약철회 권리를 행사할 수 있다고 규정하고 있습니다."
6, TV, 계약불이행_미환급,전자상거래로 TV를 주문하고 대금을 신용카드로 결제하였습니다. 제품을 수령하기 전 마음이 바뀌어 청약철회를 요청했음에도 환급이 되지 않고 있습니다. 환급받을 방법이 있나요?,판매자에게 청약철회를 요청했음에도 결제취소가 되지 않고 있다면 신용카드사에 재화 등의 대금 청구를 정지하거나 취소하도록 요청할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제18조(청약철회등의 효과) 제3항에 따르면 신용카드로 재화 등의 대금을 지급한 경우에는 지체 없이 신용카드사에게 재화 등의 대금 청구를 정지하거나 취소하도록 요청하여야 한다‘고 규정하고 있습니다.
7, TV, 가격·요금_차액 보상,타 매장에서 같은 상품을 더 싸게 파는 것을 알게 됐습니다. 같은 상품에 대해 판매가격이 다른 경우 차액만큼 보상이 가능한가요?,"판매가격 차이를 이유로 계약해제나 차액만큼 보상을 요구하기는 어렵습니다.   우리나라는 자유시장 경제질서를 기본으로 1999년 9월부터 [판매가격표시제]를 실시하여 제조업자의 표시가격에 구애받지 않고 최종 판매업자가 판매가격을 자율적으로 결정하여 표시한 후 판매하고 있으며 흔히 오픈 프라이스 제도라고 합니다.정부가 관리하는 전기요금, 난방요금 또는 대중교통 요금 등이 아닌 경우, 가격은 계약 당시 양 당사자(소비자와 판매자)의 거래 합의에 의한 계약조건이므로 가격 차이를 이유로 계약해제나 피해보상을 요구하기 어렵습니다. 따라서 타 매장과 비교하여 차이가 있다고 하더라도 부당행위로 보기 어려워 차액만큼 보상을 요구하기 어렵습니다."
8, TV, 가격·요금_설치비 추가 요구,전자상거래로 TV를 구입하고 반품을 요구하였으나 사전에 고지된 반품 배송비 이외에 ‘출장비’ 명목으로 추가 대금 지급을 요구합니다. 제가 비용을 지급해야 하나요?,"반품·배송비 이외에 추가 대금 지급은 거부할 수 있습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제18조 제9항에 따르면 단순변심 등에 의한 청약철회의 경우 공급받은 재화 등의 반환에 필요한 비용은 소비자가 부담하며, 통신판매업자는 소비자에게 청약철회 등을 이유로 위약금이나 손해배상을 청구할 수 없다고 규정하고 있습니다.따라서 단순변심에 의한 청약철회일 경우 사업자는 소비자에게 청약철회를 이유로 위약금이나 손해배상을 청구할 수 없으므로 미리 고지한 반품 배송비 이외에 다른 명목의 위약금을 추가 청구하는 것은 인정되기 어렵습니다."
9, TV, 가격·요금_반품비 추가 요구,전자상거래로 병행수입 TV를 구입하고 반품을 요구하였으나 사전에 고지된 반품 배송비 이외에 ‘반품비’라는 명목으로 추가 대금 지급을 요구합니다. 제가 비용을 지급해야 하나요?,"사전에 고지되지 않은 ‘반품비’ 명목의 추가 대금 지급 없이 반품과정에서 발생한 비용을 공제한 금액의 환급을 요구할 수 있습니다.병행수입을 비롯한 수입 제품 판매 시 발생하는 배송비는 사업자마다 수입절차 및 재고관리 방식에 따라 다를 수 있으나 「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제13조(신원 및 거래 조건에 대한 정보의 제공)에 따르면 ‘재화 등의 교환?반품?보증과 그 대금 환불 및 환불의 지연에 따른 배상금 지급의 조건?절차‘를 적절한 방법으로 표시?광고하거나 고지하여야 한다고 규정하고 있습니다.따라서, 반품 비용은 소비자의 구매 여부 판단에 영향을 주는 중요한 거래 조건으로 ’적절한 방법으로 고지’하여야 할 사항으로 볼 수 있어 사업자가 수입 과정에서 발생한 ‘현지 및 국제운송료 + 수입세금 및 제비용’에 관해 입증할 경우 소비자는 그에 대한 금액을 지급해야 하며, 입증할 수 없는 경우 제품을 반품한 뒤 반품과정에서 발생한 비용을 공제한 후 환급을 요구할 수 있다고 판단됩니다.또한 ‘전자상거래법’ 제18조(청약철회등의 효과)에 따르면 ‘사업자는 소비자에게 청약철회를 이유로 위약금이나 손해배상을 청구할 수 없다’고 규정하고 있으므로 미리 고지한 반품 배송비 이외에 다른 명목의 위약금을 추가 청구하는 것은 인정되기 어렵습니다."
10, TV, 가격·요금_과도한 반품배송비 요구,전자상거래로 TV를 구입한 후 청약철회를 요구하니 사업자가 해외구매대행 상품이었다며 과도한 해외배송비 지급을 요구합니다. 제가 비용을 지급해야 하나요?,"사업자가 주장하는 해외 배송비 등 내역이 확인되는 경우라면 소비자는 사업자에게 수입 과정에서 소요된 비용을 지급해야 합니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등)에 따르면 소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있고 재화 등의 내용이 표시·광고의 내용과 다르거나 계약 내용과 다르게 이행된 경우에는 그 재화 등을 공급받은 날부터 3개월 이내, 그 사실을 안 날 또는 알 수 있었던 날부터 30일 이내에 청약철회 등을 할 수 있다고 규정하고 있습니다.또한 ‘전자상거래법’ 제13조(신원 및 거래 조건에 대한 정보의 제공)에 따르면 ‘재화 등의 교환?반품?보증과 그 대금 환불 및 환불의 지연에 따른 배상금 지급의 조건?절차‘를 적절한 방법으로 표시?광고하거나 고지하여야 한다고 규정하고 있습니다.따라서, 청약철회 예외에 해당하지 않는 한 전자상거래를 통한 해외물품 구매계약의 경우에도 청약철회를 할 수 있고 반품 비용은 소비자의 구매 여부 판단에 영향을 주는 중요한 거래 조건으로 ’적절한 방법으로 고지‘하여야 할 사항으로 볼 수 있어, 사업자가 수입 과정에서 발생하는 비용(현지 및 국제운송료, 수입세금 및 제비용)을 사전에 소비자에게 고지하고, 지급한 사실 등이 확인되는 경우라면 소비자는 사업자에게 수입 과정에서 소요되는 비용을 지급해야 한다고 판단됩니다.   다만, 계약 체결 과정에서 해외 배송료에 대한 고지 없이 제품을 구입하였거나, 계약 체결과정에서 부담하지 아니한 해외배송비를 청약철회 과정에서 특별히 요구하는 경우라면 소비자는 사업자에게 제품의 수입 과정에서 발생하는 비용에 대한 입증을 요구하거나 물품의 반송 관련 정보의 제공 등을 요구할 수 있으며, 사업자가 이를 입증하지 못할 경우 해당 비용 지급 요구를 거절할 수 있습니다."
